CO_MUNICIPIO,ANO,POPULACAO
1701051,2001,2892
1701101,2001,3553
1701309,2001,6569
1701903,2001,5530
1702000,2001,9276
1702109,2001,115901
1702158,2001,4455
1702208,2001,26660
1702307,2001,6970
1702406,2001,10777
1702554,2001,13212
1702703,2001,3050
1702901,2001,8680
1703008,2001,10475
1703057,2001,2617
1703073,2001,3607
1703107,2001,4984
1703206,2001,4574
1703305,2001,2303
1703602,2001,1946
1703701,2001,4753
1703800,2001,7874
1703826,2001,2084
1703842,2001,5906
1703867,2001,3022
1703883,2001,2044
1703891,2001,3424
1703909,2001,3771
1704105,2001,2192
1704600,2001,1256
1705102,2001,3320
1705508,2001,25834
1705557,2001,4470
1705607,2001,4407
1706001,2001,4237
1706100,2001,7244
1706258,2001,1414
1706506,2001,4390
1707009,2001,15713
1707108,2001,5843
1707207,2001,7182
1707306,2001,4586
1707405,2001,7942
1707553,2001,3841
1707652,2001,5490
1707702,2001,8316
1708205,2001,19075
1708254,2001,2349
1708304,2001,4801
1709005,2001,10971
1709302,2001,20196
1709500,2001,66298
1709807,2001,1169
1710508,2001,6748
1710706,2001,6435
1710904,2001,3328
1711100,2001,2392
1711506,2001,3144
1711803,2001,2383
1711902,2001,6645
1711951,2001,2591
1712009,2001,2537
1712157,2001,1217
1712405,2001,3739
1712454,2001,2100
1712504,2001,3455
1712702,2001,1692
1712801,2001,2953
1713205,2001,25083
1713304,2001,11908
1713601,2001,4984
1713700,2001,1884
1713809,2001,4844
1713957,2001,2675
1714203,2001,9027
1714302,2001,5272
1714880,2001,9600
1715002,2001,3204
1715101,2001,3136
1715150,2001,2319
1715259,2001,2228
1715507,2001,970
1715705,2001,3619
1715754,2001,6789
1716109,2001,37141
1716208,2001,10337
1716307,2001,4388
1716505,2001,9026
1716604,2001,8749
1716653,2001,4754
1716703,2001,9409
1717008,2001,4689
1717206,2001,2493
1717503,2001,5301
1717800,2001,4498
1717909,2001,6155
1718006,2001,2425
1718204,2001,45320
1718303,2001,7059
1718402,2001,3781
1718451,2001,2103
1718501,2001,3254
1718550,2001,3687
1718659,2001,1246
1718709,2001,2363
1718758,2001,5978
1718808,2001,2738
1718840,2001,3399
1718865,2001,5752
1718881,2001,2262
1718899,2001,1869
1718907,2001,4222
1719004,2001,2153
1720002,2001,2518
1720101,2001,3591
1720150,2001,1309
1720200,2001,8667
1720259,2001,2753
1720309,2001,3816
1720499,2001,5230
1720655,2001,4572
1720804,2001,9799
1720853,2001,1428
1720903,2001,13414
1720937,2001,1657
1720978,2001,2385
1721000,2001,150884
1721109,2001,5807
1721208,2001,23433
1721257,2001,1202
1721307,2001,1377
1722081,2001,10370
1722107,2001,12344
2100055,2001,91250
2100105,2001,4696
2100154,2001,9718
2100204,2001,21425
2100303,2001,18639
2100402,2001,10975
2100436,2001,20729
2100477,2001,31123
2100501,2001,10157
2100550,2001,5627
2100600,2001,32126
2100709,2001,23312
2100808,2001,10260
2100832,2001,11429
2100873,2001,9050
2100907,2001,34982
2100956,2001,29240
2101004,2001,26547
2101103,2001,10200
2101202,2001,92567
2101251,2001,10643
2101301,2001,15774
2101350,2001,4711
2101400,2001,62427
2101509,2001,15529
2101608,2001,77979
2101707,2001,40623
2101731,2001,5526
2101772,2001,10280
2101806,2001,5310
2101905,2001,19538
2101939,2001,5365
2101970,2001,5342
2102002,2001,34961
2102036,2001,17049
2102077,2001,11848
2102101,2001,27935
2102150,2001,5566
2102200,2001,24262
2102309,2001,21495
2102325,2001,53348
2102358,2001,14100
2102374,2001,7583
2102408,2001,9827
2102507,2001,13066
2102556,2001,11799
2102606,2001,16826
2102705,2001,17530
2102754,2001,10544
2102804,2001,23877
2102903,2001,18964
2103000,2001,140450
2103109,2001,9988
2103125,2001,7453
2103158,2001,6339
2103174,2001,14863
2103208,2001,61817
2103257,2001,11908
2103307,2001,111587
2103406,2001,42511
2103505,2001,36600
2103554,2001,10547
2103604,2001,56496
2103703,2001,34722
2103752,2001,12183
2103802,2001,22022
2103901,2001,9624
2104008,2001,21274
2104057,2001,23361
2104073,2001,7562
2104081,2001,4844
2104099,2001,14791
2104107,2001,11488
2104206,2001,14465
2104305,2001,6951
